Product Name,Brand,Price,Discount,Link,Image
The Mints Aquatic,Marvis,33.0,-15.0,https://www.notino.cz/marvis/aquatic-mint-zubni-pasta/,https://cdn.notinoimg.com/list_2k//marvis/8004395111725_01-o__171120.jpg
Whitening Herbal,MEDIBLANC,44.0,-15.0,https://www.notino.cz/mediblanc/whitening-herbal-bylinna-zubni-pasta-s-belicim-ucinkem/,https://cdn.notinoimg.com/list_2k//mediblanc/8059300538166-o__221027.jpg
The Mints Classic Strong,Marvis,109.0,-20.0,https://www.notino.cz/marvis/classic-strong-mint-zubni-pasta/,https://cdn.notinoimg.com/list_2k//marvis/8004395111701_01-o__171120.jpg
Dental Care,Weleda,269.41,-20.0,https://www.notino.cz/weleda/dental-care-zubni-pasta-s-morskou-soli/,https://cdn.notinoimg.com/list_2k//weleda/4001638098090_01-o__230809.jpg
The Mints Cinnamon,Marvis,306.0,-15.0,https://www.notino.cz/marvis/cinnamon-mint-zubni-pasta/,https://cdn.notinoimg.com/list_2k//marvis/8004395111763_01-o__171120.jpg
Repair & Protect Extra Fresh,Sensodyne,306.0,-20.0,https://www.notino.cz/sensodyne/repair-protect-extra-fresh-zubni-pasta-pro-ochranu-zubu-a-dasni/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563103482_01-o__210908.jpg
White Now Men Super Pure,Signal,106.0,-15.0,https://www.notino.cz/signal/white-now-men-super-pure-zubni-pasta-pro-muze-s-belicim-ucinkem/,https://cdn.notinoimg.com/list_2k//signal/8710908135835_01-o__230216.jpg
Whitening Smokers Mint,Marvis,263.53,-15.0,https://www.notino.cz/marvis/smokers-whitening-mint-belici-zubni-pasta-pro-kuraky/,https://cdn.notinoimg.com/list_2k//marvis/8004395111817_01-o__200211.jpg
Fluoride,Sensodyne,127.0,-15.0,https://www.notino.cz/sensodyne/fluoride-zubni-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//sensodyne/4047400470350_01-o__140401.jpg
Black Forest,Marvis,169.33,-15.0,https://www.notino.cz/marvis/marvis-black-forest-zubni-pasta/,https://cdn.notinoimg.com/list_2k//marvis/8004395111633_01-o__190911.jpg
Repair & Protect Whitening,Sensodyne,116.0,0,https://www.notino.cz/sensodyne/repair-protect-whitening-belici-zubni-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563103680_01-o__210908.jpg
Enzycal 1450,Curaprox,215.29,0,https://www.notino.cz/curaprox/enzycal-1450-zubni-pasta/,https://cdn.notinoimg.com/list_2k//curaprox/7612412070002_01-o__141218.jpg
Kamchatkan Mineral,Natura Siberica,140.0,0,https://www.notino.cz/natura-siberica/kamchatkan-mineral-prirodni-zubni-pasta/,https://cdn.notinoimg.com/list_2k//natura-siberica/4607174437579_01-o__180801.jpg
White Now Time Correct,Signal,186.67,0,https://www.notino.cz/signal/white-now-time-correct-zubni-pasta/,https://cdn.notinoimg.com/list_2k//signal/8720181327186_01-o__230503.jpg
Sensitive,Elmex,84.0,0,https://www.notino.cz/elmex/sensitive-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//elmex/7610108059249_11-o__150518.jpg
Gum Protection,Meridol,112.0,0,https://www.notino.cz/meridol/meridol-zubni-pasta-proti-krvaceni-dasni/,https://cdn.notinoimg.com/list_2k//meridol/8718951459885_01-o__220524.jpg
The Mints Amarelli Licorice,Marvis,283.0,0,https://www.notino.cz/marvis/amarelli-licorice-zubni-pasta/,https://cdn.notinoimg.com/list_2k//marvis/8004395111749_01-o__171120.jpg
Dental Care,Weleda,332.94,0,https://www.notino.cz/weleda/dental-care-zubni-pasta/,https://cdn.notinoimg.com/list_2k//weleda/4001638098083_01-o__211012.jpg
White Now Detox Charcoal,Signal,100.0,0,https://www.notino.cz/signal/white-now-detox-charcoal-belici-zubni-pasta-s-aktivnim-uhlim/,https://cdn.notinoimg.com/list_2k//signal/8710604754200_01-o__200217.jpg
Advanced Active Shield,Biorepair,133.33,0,https://www.notino.cz/biorepair/advanced-active-shield-zubni-pasta/,https://cdn.notinoimg.com/list_2k//biorepair/8017331064078_01-o__210205.jpg
Healthy Gums,MEDIBLANC,208.0,0,https://www.notino.cz/mediblanc/healthy-gums-zubni-pasta-pro-ochranu-dasni/,https://cdn.notinoimg.com/list_2k//mediblanc/8059300530559-o__221027.jpg
Charcoal,White Glo,277.33,0,https://www.notino.cz/white-glo/charcoal-belici-zubni-pasta-s-aktivnim-uhlim-na-cesty/,https://cdn.notinoimg.com/list_2k//white-glo/9319871000974_01-o__210524.jpg
Rapid,Sensodyne,119.0,-20.0,https://www.notino.cz/sensodyne/rapid-zubni-pasta-s-fluoridem-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//sensodyne/8596149002385_01-o__180406.jpg
Kids 0-6,Biorepair,158.67,-15.0,https://www.notino.cz/blanx/biorepair-zubni-pasta-pro-deti/,https://cdn.notinoimg.com/list_2k//biorepair/8017331035634_01-o__130828.jpg
Special Extreme White,Splat,80.0,-15.0,https://www.notino.cz/splat/special-extreme-white-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//splat/7640168930271_01-o__220908.jpg
Sensitive Whitening,Ecodenta,160.0,-15.0,https://www.notino.cz/ecodenta/expert-black-whitening-belici-zubni-pasta-pro-citlive-zuby/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001003206_01-o__210809.jpg
Sensitive Professional,Elmex,175.0,-15.0,https://www.notino.cz/elmex/sensitive-professional-zubni-pasta-pro-citlive-zuby-73517/,https://cdn.notinoimg.com/list_2k//elmex/7610108047536_01-o__140526.jpg
Polar Night,Natura Siberica,233.33,-15.0,https://www.notino.cz/natura-siberica/polar-night-cerna-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//natura-siberica/4607174432253_01-o__180801.jpg
Plus Parodontgel,Biorepair,88.0,-20.0,https://www.notino.cz/biorepair/plus-parodontal-pasta-posilujici-zubni-sklovinu-proti-parodontoze/,https://cdn.notinoimg.com/list_2k//biorepair/brpprgw_ktps15_01__170410.jpg
Caries Protection,Elmex,88.0,-15.0,https://www.notino.cz/elmex/caries-protection-kosmeticka-sada-i/,https://cdn.notinoimg.com/list_2k//elmex/8714789994185_01-o__230109.jpg
The Mints Anise,Marvis,145.0,-15.0,https://www.notino.cz/marvis/marvis-anise-mint-zubni-pasta/,https://cdn.notinoimg.com/list_2k//marvis/8004395111879_01-o__190911.jpg
Girls,Pink Elephant,193.33,-15.0,https://www.notino.cz/pink-elephant/girls-darkova-sada-pro-deti-pink/,https://cdn.notinoimg.com/list_2k//pink_elephant/8588006040425_01__211015.jpg
Special Blackwood,Splat,79.0,0,https://www.notino.cz/splat/special-blackwood-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//splat/7640168930288_01-o__220908.jpg
Max White Ultra Multi Protect,Colgate,79.0,0,https://www.notino.cz/colgate/max-white-ultra-multi-protect-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/8718951563544_01-o__230630.jpg
3D White Cool Water,Blend-a-med,136.0,0,https://www.notino.cz/blend-a-med/3d-white-cool-water-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//blend-a-med/8006540793138_01-o__230221.jpg
Natural Toothpaste Black,BEN&ANNA,181.33,0,https://www.notino.cz/benanna/natural-toothpaste-black-zubni-pasta-s-aktivnim-uhlim/,https://cdn.notinoimg.com/list_2k//benanna/4260491220509_01-o__221101.jpg
Gum And Sens Original,Parodontax,198.0,0,https://www.notino.cz/parodontax/gum-and-sens-original-pasta-pro-kompletni-ochranu-zubu-a-svezi-dech-5023273/,https://cdn.notinoimg.com/list_2k//parodontax/5054563120410_01-o__220427.jpg
Natural Extracts Ultimate Fresh,Colgate,198.0,0,https://www.notino.cz/colgate/natural-extract-ultimate-fresh-zubni-pasta/,https://cdn.notinoimg.com/list_2k//colgate/8718951131644_01-o__221128.jpg
Extreme Whitening,Swissdent,93.0,0,https://www.notino.cz/swissdent/extreme-intenzivni-belici-zubni-pasta/,https://cdn.notinoimg.com/list_2k//swissdent/swdextw_ktps05__150402.jpg
Plus Total Protection,Biorepair,244.71,0,https://www.notino.cz/biorepair/plus-protect-pasta-posilujici-zubni-sklovinu/,https://cdn.notinoimg.com/list_2k//biorepair/brpprow_ktps45_01__170616.jpg
